SessionId	ItemId	Time
1	214536502	1396867869.277
1	214536500	1396868049.868
1	214536506	1396868086.998
1	214577561	1396868220.306
2	214662742	1396878997.614
2	214662742	1396879039.373
2	214825110	1396879117.446
2	214757390	1396879190.71
2	214757407	1396879238.247
2	214551617	1396879356.889
3	214716935	1396444666.94
3	214774687	1396445162.515
3	214832672	1396445412.318
4	214836765	1396872550.948
4	214706482	1396873585.416
6	214701242	1396803500.848
6	214826623	1396803746.976
7	214826835	1396420733.104
7	214826715	1396420745.854
8	214838855	1396774198.728
8	214838855	1396774332.647
9	214576500	1396783584.127
9	214576500	1396783734.654
9	214576500	1396783753.479
11	214821275	1396521875.672
11	214821275	1396521901.674
11	214821371	1396521929.873
11	214821371	1396521972.162
11	214821371	1396522017.355
11	214717089	1396522402.572
11	214563337	1396522429.875
11	214706462	1396522519.267
11	214717436	1396522547.327
11	214743335	1396522590.52
11	214826837	1396522639.331
11	214819762	1396522659.433
12	214717867	1396434613.176
12	214717867	1396434792.621
13	214836761	1396795813.638
13	214684513	1396795974.363
13	214836761	1396795998.268
14	214577732	1396346941.362
14	214587013	1396347074.773
14	214577732	1396347156.482
17	214826897	1396784054.289
17	214820441	1396784056.193
16	214684093	1396703281.626
16	214684093	1396703319.897
16	214684093	1396704053.092
19	214561790	1396385532.357
19	214561790	1396385533.758
19	214611457	1396385693.606
19	214611457	1396385694.651
18	214577732	1396329972.539
18	214577732	1396329992.156
21	214838503	1396861288.552
21	214838503	1396861419.903
21	214838503	1396861440.598
21	214838503	1396861569.115
21	214838503	1396861662.212
21	214548744	1396862470.012
23	214718203	1396597398.598
23	214718203	1396597744.634
23	214718203	1396597746.376
23	214718203	1396598208.356
22	214837485	1396747745.969
22	214837485	1396747836.821
22	214837485	1396747860.419
22	214837487	1396747911.443
22	214837487	1396747938.33
22	214821315	1396748118.266
22	214586711	1396748132.915
22	214821305	1396748192.105
22	214821307	1396748208.172
22	214844357	1396748228.202
22	214821341	1396748239.052
22	214821309	1396748250.7
22	214551617	1396748293.259
22	214551617	1396748498.028
22	214612920	1396748716.708
22	214837487	1396748871.889
24	214613743	1396738107.233
24	214613743	1396738108.756
24	214539110	1396738145.756
24	214539110	1396738146.722
27	214827028	1396856412.65
27	214827017	1396856473.815
27	214537796	1396856801.444
27	214840762	1396857003.502
27	214707930	1396857222.034
27	214707930	1396857298.054
27	214585652	1396857367.512
27	214536197	1396857507.568
27	214536195	1396857544.113
27	214646169	1396857711.327
26	214579288	1396802575.741
26	214714790	1396802698.482
26	214676070	1396802711.344
26	214601407	1396802779.569
29	214532036	1396460527.324
29	214700432	1396460844.821
28	214836789	1396711535.032
28	214836789	1396711631.668
28	214710804	1396711799.565
31	214537967	1396341364.146
31	214537967	1396341497.758
34	214718246	1396880997.726
34	214826835	1396881202.86
32	214835257	1396885512.308
32	214835265	1396885678.163
33	214834865	1396807990.756
33	214571188	1396808027.162
33	214571188	1396808029.398
33	214571188	1396808029.925
33	214820225	1396808125.464
33	214820225	1396808125.792
33	214820225	1396808126.502
33	214820225	1396808155.366
